PR_OTV,PROB,NP,M_YCH,K_PRED,K_NPU,KTP,TER,GR,OKD2,OKD3,FSOB,SEK_EK,V_DE,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P50,P51,P52,P53,P54,P55,P56,P57,P58,P59,P60,P61,P62,P63,P64,P65,P66,P67,P68,P69,P70,P71,P72,P73,P74,P75,P76,P77,P78,P79,P80,P81,P82,P83,P84,P85,P86,P87,P88,P89,P90,P91,P92,P93,P94,P95,P96,P97,P98,P99,P100,P101,P102,P103,P104,P105,P106,P107,P108,P109,P110,P111,P112,P113,P114,P115,P116,P117,P118,P119,P120,P121,P122,P123,P124,P125,P126,P127,P128,P129,P130,P131,P132,P133,P134,P135,P136,P137,P138,P139,P140,P141,P142,P143,P144,P145,P146,P147,P148,P149,P150,P151,P152,P153,P154,P155,P156,P157,P158,P159,P160,P161,P162,P163,P164,P165,P166,P167,P168,P169,P170,P171,P172,P173,P174,P175,P176,P177,P178,P179,P180,P181,P182,P183,P184,P185,P186,P187,P188,P189,P190,P191,P192,P193,P194,P195,P196,P197,P198,P199,P200,P201,P202,P203,P204,P205,P206,P207,P208,P209,P210,P211,P212,P213,P214,P215,P216,P217,P218,P219,P220,P221,P222,P223,P224,P225,P226,P227,P228,P229,P230,P231,P232,P233,P234,P235,P236,P237,P238,P239,P240,P241,P242,P243,P244,P245,P246,P247,P248,P249,P250,P251,P252
1,"",0,1,4869172,41709999000000,22,41709,999,"74.60.0","80.10.0",11,41,1,59,29,10997,10997,8906,8906,0,0,0,0,0,0,0,0,0,0,2256,2256,-165,-165,956,956,0,0,0,0,0,0,791,606,600,0,0,0,0,0,0,0,0,606,600,0,0,0,0,11162,11162,0,0,299,299,0,0,0,0,0,0,0,0,243,243,56,56,7472,7472,1258,1258,806,806,22,22,41,41,144,144,0,0,0,0,2,2,1051,1051,664,664,5,5,0,0,71,71,0,0,132,132,89,89,90,90,67,67,0,0,0,0,10997,0,29882,5292,0,1113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10997,0,29882,5292,0,1113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"",0,3,22862713,41709999000000,21,41709,999,"40.12.0","35.12.0",20,12,1,2469,1107.9,1020347.1,1020347.1,875846.5,875846.5,0,0,4560.7,4560.7,0,0,1946.7,1946.7,0,0,56984.7,56984.7,90129.9,90129.9,143504,143504,0,0,0,0,0,0,233633.9,314179.7,301501.3,0,0,152251.1,142952.4,0,0,0,0,161928.6,158548.9,0,0,0,0,934777.9,934777.9,10.4,10.4,236800.1,236800.1,19633.3,19633.3,0,0,49020.7,49020.7,161868.7,161868.7,6167.5,6167.5,109.9,109.9,174018,174018,29552.5,29552.5,381237.4,381237.4,2721,2721,7983.7,7983.7,0,0,0,0,0,0,48.7,48.7,17123.9,17123.9,4962.2,4962.2,879.7,879.7,42.2,42.2,1725.3,1725.3,28.4,28.4,605.6,605.6,6.4,6.4,8874.1,8874.1,85282.2,85282.2,49020.7,49020.7,157668.9,157668.9,1024907.8,0,18398.7,2675313.6,575664.5,622251.6,0,48781624.4,152342.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120176.8,0,0,56159.8,665,2386.4,0,0,0,904731,0,18398.7,2534856.9,574999.5,481626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8829.3,0,2391.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75467.6,0,135847.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48781624.4,152342.8,0,0,0,0,0,0,0,0,0,0,0,0
1,"",0,1,20382073,41709999000000,12,41709,999,"64.11.0","53.10.1",11,11,1,3686,1809.6,143096,143096,114269,114269,0,0,0,0,0,0,0,0,0,0,24241,24241,4586,4586,-1700,-1700,0,0,0,0,0,0,2886,48015,36100,16350,17237,1288,502,0,0,4344,0,26033,18361,0,0,0,0,138510,138510,0,0,8006.7,8006.7,2146.9,2146.9,175.9,175.9,0,0,3290.4,3290.4,2393.5,2393.5,0,0,90535.7,90535.7,15568.5,15568.5,2453.9,2453.9,1349.6,1349.6,1373.7,1373.7,344.7,344.7,0,0,605.3,605.3,16.4,16.4,10153.1,10153.1,1685.8,1685.8,1197.3,1197.3,38.1,38.1,1762.3,1762.3,0,0,3521,3521,90.1,90.1,1858.5,1858.5,8102.4,8102.4,0,0,0,0,143096,0,0,85238,41060,132421,25553,37931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143096,0,0,85238,41060,132421,25553,37931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"",0,1,22856351,41709999000000,21,41709,999,"40.11.2","35.11.2",20,12,1,4445,1949.9,3001335.4,3001335.4,2160661,2160661,0,0,99174.6,99174.6,3376.2,3376.2,209423.9,209423.9,4189.4,4189.4,155135.9,155135.9,571099.8,571099.8,785670.4,785670.4,0,0,0,0,0,0,1356770.2,2244789.1,2270601.8,1250.7,826.2,1677221.5,1697573.8,0,0,0,0,566316.9,572201.8,0,0,0,0,2529410.2,2529410.2,0,0,1771726.5,1771726.5,53187.2,53187.2,0,0,0,0,128176.4,128176.4,1544284.3,1544284.3,46078.6,46078.6,334367.8,334367.8,55899.2,55899.2,109564.2,109564.2,3339.6,3339.6,7051.4,7051.4,705.3,705.3,21625.9,21625.9,0,0,755.6,755.6,128993.7,128993.7,19347.9,19347.9,3173,3173,26.9,26.9,1361,1361,1,1,1421.9,1421.9,14.9,14.9,103647.1,103647.1,95381,95381,0,0,0,0,3100510,0,478865.4,23320240.5,525951.2,867011,34618.2,41978948.5,733.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155.1,0,0,110348.2,93510.3,22308.8,0,0,0,3100354.9,0,478865.4,3045651.7,297120.3,658241.1,3220.9,4494386.8,265.9,0,0,0,0,0,0,0,0,0,0,0,0,21009.5,37.2,12583.2,41.7,7241025.5,145.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134937.8,134894.5,121801.9,31355.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20008293.3,388.9,52076,0,30243536.2,322.4,0,0,0,0,0,0,0,0,0,0,0,0
1,"",0,3,26267083,41709999000000,0,41709,999,"50.50.0","47.30.0",20,12,1,130,195,788915.5,788915.5,753964.7,753964.7,732743.5,732743.5,20395.5,20395.5,20062,20062,0,0,2136.4,2136.4,12668.6,12668.6,40541.3,40541.3,-18478.1,-18478.1,0,0,0,0,0,0,22063.2,119179.5,96820.9,118476.9,96111,0,0,0,0,0,0,702.6,709.9,0,0,0,0,768769.7,768769.7,732743.5,732743.5,1267.1,1267.1,0,0,0,0,0,0,84.9,84.9,1182.2,1182.2,0,0,2862.1,2862.1,520.6,520.6,2688.4,2688.4,0,0,0,0,6137.6,6137.6,0,0,8500.8,8500.8,0,0,459.6,459.6,0,0,83.9,83.9,0,0,67.9,67.9,0,0,17.1,17.1,0,0,290.7,290.7,13590,13590,0,0,0,0,809311,0,0,92600.1,0,90417.5,0,191919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,809311,0,0,92600.1,0,90417.5,0,191919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"",0,3,28468207,41709999000000,23,41709,999,"40.22.1","35.22.0",20,13,1,1746,764.3,1683658.8,1683658.8,1038215.2,1038215.2,1038215.2,1038215.2,29161.2,29161.2,382.8,382.8,22014.1,22014.1,393133.1,393133.1,123340.8,123340.8,136116.8,136116.8,71668.8,71668.8,0,0,0,0,0,0,207785.6,643783.6,725993.5,41443.7,38807.4,0,0,0,0,0,0,602339.9,687186.1,0,0,0,0,1576703.2,1576703.2,1038215.2,1038215.2,153422.6,153422.6,7304.9,7304.9,18402.4,18402.4,74434.7,74434.7,3850.5,3850.5,48182.6,48182.6,1247.5,1247.5,218254.6,218254.6,34099.6,34099.6,45178.8,45178.8,1001.2,1001.2,4597,4597,7234.4,7234.4,33471.7,33471.7,0,0,251.8,251.8,25016,25016,4740.8,4740.8,2913.9,2913.9,700,700,1261.5,1261.5,7.1,7.1,735.1,735.1,1.9,1.9,14655.7,14655.7,15960.3,15960.3,0,0,0,0,1712820,0,0,1328159.2,737829.5,859841.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152893.7,0,0,95671.3,0,0,0,0,0,1559526.2,0,0,1220762.4,737829.5,399670.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11725.5,0,460170.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"",0,1,120,41709999000000,12,41709,999,"27.41.0","24.41.0",11,12,1,1994,965.1,11354603.1,11354603.1,11318177.9,11318177.9,0,0,6716.1,6716.1,0,0,9664.7,9664.7,9760.1,9760.1,46657.1,46657.1,-22940.6,-22940.6,0,0,0,0,0,0,0,0,-22940.6,2026877.4,2922696.3,13194.2,16011.8,106951.4,107815.4,1328040.2,2238832.1,428535.8,417867.3,150155.8,142169.7,0,0,0,0,11384259.8,11384259.8,0,0,11126613.1,11126613.1,11022952.9,11022952.9,2551.7,2551.7,79.3,79.3,35727,35727,23067.2,23067.2,42235,42235,105357.4,105357.4,19444.5,19444.5,27553.8,27553.8,8521.8,8521.8,2666.6,2666.6,0,0,6203.9,6203.9,0,0,146,146,25944.4,25944.4,1004.9,1004.9,191.3,191.3,101,101,454.6,454.6,235.5,235.5,2964,2964,197.9,197.9,20795.2,20795.2,61808.3,61808.3,0,0,0,0,11361319.2,0,25666706.9,306744.9,0,2041200.4,0,210.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,878521.2,0,25666706.9,306744.9,0,2041200.4,0,210.5,0,0,0,0,0,0,0,0,0,0,10482798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"",0,1,29781886,41709999000000,23,41709,999,"","47.30.0",20,12,1,652,391.2,1033872.6,1033872.6,957391.2,957391.2,957391.2,957391.2,6319.7,6319.7,2721.9,2721.9,0,0,98729.3,98729.3,10455.5,10455.5,-26383.7,-26383.7,571.7,571.7,0,0,0,0,0,0,-25812,643580.6,621352.9,643180.2,618979.5,0,0,0,0,0,0,400.4,2373.4,0,0,0,0,1066576,1066576,957391.2,957391.2,1725.2,1725.2,357.7,357.7,0,0,0,0,0,0,1355.4,1355.4,12.1,12.1,35345.4,35345.4,6074.6,6074.6,701.5,701.5,25.7,25.7,194.9,194.9,40390.7,40390.7,0,0,0,0,21.1,21.1,10475.3,10475.3,1700.8,1700.8,191.2,191.2,35.8,35.8,531.8,531.8,25.4,25.4,3136.8,3136.8,284.8,284.8,4568.7,4568.7,14230.4,14230.4,0,0,0,0,1040192.3,0,0,220148.6,0,860811.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1040192.3,0,0,220148.6,0,860811.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"",0,1,24176198,41709999000000,0,41709,999,"50.50.0","47.30.0",20,13,1,967,391.2,2885494.3,2885494.3,2612660.9,2612660.9,2612660.9,2612660.9,49067.8,49067.8,0,0,33854.4,33854.4,247927.4,247927.4,52441.3,52441.3,-12321.9,-12321.9,1401.5,1401.5,0,0,0,0,0,0,-10920.4,1123812.5,1131549.7,1024416.4,1046953.3,5356.3,4714.7,0,0,39558.1,27294,54481.7,52587.7,0,0,0,0,2946884,2946884,2612660.9,2612660.9,13212.9,13212.9,3304.3,3304.3,0,0,1274.9,1274.9,0,0,6226.5,6226.5,2407.2,2407.2,84317.7,84317.7,13733.8,13733.8,84602.1,84602.1,0,0,1136.4,1136.4,29784.8,29784.8,0,0,0,0,3944.8,3944.8,69636.5,69636.5,4100.6,4100.6,463.7,463.7,319.1,319.1,3236.2,3236.2,2731,2731,6168.6,6168.6,0,0,52617.3,52617.3,33854.1,33854.1,0,0,0,0,2934562.1,0,2247.6,996221.8,1991.6,931298.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.8,100063.5,0,0,0,0,0,2933962.6,0,0,888554,1991.6,436172.3,0,0,0,0,0,0,0,0,0,0,0,0,599.5,0,0,7513.2,0,495125.8,0,0,0,0,0,2212.8,91.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"",0,1,22596298,41709999000000,21,41709,999,"40.11.2","35.11.2",20,12,1,215,94.4,39244,39244,25163.1,25163.1,0,0,4016,4016,209.9,209.9,5215,5215,274.8,274.8,8190.3,8190.3,4416.8,4416.8,652,652,0,0,0,0,0,0,5068.8,6196.2,6672.9,0,0,4061.8,4330.8,0,0,0,0,2134.4,2342.1,0,0,0,0,65055.8,65055.8,0,0,27482.5,27482.5,0,0,0,0,0,0,25163.1,25163.1,523.9,523.9,1795.5,1795.5,14797,14797,2408.4,2408.4,7838.1,7838.1,254.3,254.3,182.1,182.1,15,15,1271.5,1271.5,0,0,23.6,23.6,9720.7,9720.7,8620.6,8620.6,91.1,91.1,0,0,140.5,140.5,0,0,1.8,1.8,196.4,196.4,670.3,670.3,1062.6,1062.6,0,0,0,0,43260,0,1078.3,28940.1,0,72943.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43260,0,1078.3,28940.1,0,72943.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
